,name,artist,album_name,album_image_url,album_release_date,duration_ms,explicit,popularity,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_followers,artist_genres,artist_popularity,track_id
0,Don't Be Cruel,Elvis Presley,Elvis' Golden Records,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,1958-03-21,122893,False,59,https://p.scdn.co/mp3-preview/7a3c50df53ab91b8664abf39de5fea813e55c3b4?cid=d3c4d26f750f45daa2434a1585745291,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,4,5832760,"['rock-and-roll', 'rockabilly']",78,01u6AEzGbGbQyYVdxajxqk
1,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),https://i.scdn.co/image/ab67616d0000b273b9ea1c69fe9efbdc2df85a95,1956-03,223760,False,66,https://p.scdn.co/mp3-preview/225d71ffaecd12bc539a51cd167b2d257f7a854f?cid=d3c4d26f750f45daa2434a1585745291,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,4,5043932,"['adult standards', 'easy listening', 'lounge']",77,3aEJMh1cXKEjgh52claxQp
2,Smoke Gets In Your Eyes,The Platters,The Best Of The Platters,https://i.scdn.co/image/ab67616d0000b2738f596fd18c96d6f32513d854,1995-01-01,157293,False,0,,0.29,0.227,3,-13.06,1,0.0311,0.944,7.95e-05,0.617,0.224,114.278,4,536560,"['adult standards', 'brill building pop', 'doo-wop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",61,307XEC1IUwUs9ojlEFwH7f
3,"What'd I Say, Pt. 1 & 2",Ray Charles,What'd I Say,https://i.scdn.co/image/ab67616d0000b2731990f67950270de15b709d99,1959,307053,False,62,https://p.scdn.co/mp3-preview/f1ba866a9dae60ca159fec52aac4ad36bce32d57?cid=d3c4d26f750f45daa2434a1585745291,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,4,1773820,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",67,5yQ9iMZXGcr5rlO4hoLsP4
4,Dream A Little Dream Of Me,Ella Fitzgerald,Ella & Friends,https://i.scdn.co/image/ab67616d0000b273bf2c87b8c8191a711796cc61,1996-06-04,185066,False,0,,0.455,0.167,0,-13.613,1,0.0739,0.918,0.0,0.173,0.404,76.118,4,2041525,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']",69,3vFVS2WYHDG4KkWCNecvpn
5,That'll Be The Day,Buddy Holly,That'll Be The Day,https://i.scdn.co/image/ab67616d0000b273085751ccca901e9bbc25a816,1958-06-01,150133,False,63,https://p.scdn.co/mp3-preview/a17d4469b67085435d48c255a8e553ad5ab34925?cid=d3c4d26f750f45daa2434a1585745291,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,4,929075,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'rock-and-roll', 'rockabilly']",60,50RwvvEKX5Q7AZt8FTAwIF
6,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,Chet Baker Sings,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,1956,179640,False,58,https://p.scdn.co/mp3-preview/246c5ee6c86dcc387903d3f1e206a49a85e8fb69?cid=d3c4d26f750f45daa2434a1585745291,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34,3,764367,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']",64,4gFlHAye7To29Fs4UszQUH
7,Mr. Blue,The Fleetwoods,Come Softly To Me: The Very Best Of The Fleetwoods,https://i.scdn.co/image/ab67616d0000b27337558b80ccddb88af1817ccd,1993-01-01,145133,False,56,https://p.scdn.co/mp3-preview/c5b0e056b84e34dd0a48ee14717c98eb69a05c74?cid=d3c4d26f750f45daa2434a1585745291,0.374,0.0889,4,-17.475,1,0.0356,0.931,6.88e-06,0.111,0.211,96.677,4,52448,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']",48,6bnFjTW3EnMG4BwreDnSHK
8,I Only Have Eyes for You,The Flamingos,Flamingo Serenade,https://i.scdn.co/image/ab67616d0000b2731ba2d22b62756c8c2d579c14,1959-08-11,202773,False,59,https://p.scdn.co/mp3-preview/553ba065bc4612f857db27c7df851bf8abfd3904?cid=d3c4d26f750f45daa2434a1585745291,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,3,47348,"['brill building pop', 'doo-wop', 'rhythm and blues']",47,3YdKJzcoMZMacISlpY4QoP
9,I'll Look Around,Billie Holiday,The Lady Sings,https://i.scdn.co/image/ab67616d0000b273b8e03d36b6f731ad737c48cf,1956-01-01,195586,False,53,https://p.scdn.co/mp3-preview/276e701b36ba1e2d7903f19e8e843da72b6c33b1?cid=d3c4d26f750f45daa2434a1585745291,0.438,0.0865,0,-16.593,1,0.0334,0.98,5.74e-05,0.103,0.315,69.804,4,1495817,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",66,1wAURZCIA0k5RNwaJN3dH3
